Checking Status,Duration,Credit History,Purpose,Credit Amount,Saving Status,Employment,Installment Commitment,Personal Status,Other Parties,Residence Since,Property Magnitude,Age,Other Payment Plans,Housing,Existing Credits,Job,Num Dependents,Own Telephone,Foreign Worker,Class
0,6,critical/other existing credit,radio/tv,1169,0,10,4,male single,none,4,real estate,67,none,own,2,skilled,1,Having telephone,Foreign
200,48,existing paid,radio/tv,5951,100,4,2,female div/dep/mar,none,2,real estate,22,none,own,1,skilled,1,No telephone,Foreign
0,12,critical/other existing credit,education,2096,100,7,2,male single,none,3,real estate,49,none,own,1,unskilled resident,2,No telephone,Foreign
0,42,existing paid,furniture/equipment,7882,100,7,2,male single,guarantor,4,life insurance,45,none,for free,1,skilled,2,No telephone,Foreign
0,24,delayed previously,new car,4870,100,4,3,male single,none,4,no known property,53,none,for free,2,skilled,2,No telephone,Foreign
0,36,existing paid,education,9055,0,4,2,male single,none,4,no known property,35,none,for free,1,unskilled resident,2,Having telephone,Foreign
0,24,existing paid,furniture/equipment,2835,1000,10,3,male single,none,4,life insurance,53,none,own,1,skilled,1,No telephone,Foreign
200,36,existing paid,used car,6948,100,4,2,male single,none,2,car,35,none,rent,1,high qualif/self emp/mgmt,1,Having telephone,Foreign
0,12,existing paid,radio/tv,3059,1500,7,2,male div/sep,none,4,real estate,61,none,own,1,unskilled resident,1,No telephone,Foreign
200,30,critical/other existing credit,new car,5234,100,unemployed,4,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,No telephone,Foreign
200,12,existing paid,new car,1295,100,0,3,female div/dep/mar,none,1,car,25,none,rent,1,skilled,1,No telephone,Foreign
0,48,existing paid,business,4308,100,0,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,No telephone,Foreign
200,12,existing paid,radio/tv,1567,100,4,1,female div/dep/mar,none,1,car,22,none,own,1,skilled,1,Having telephone,Foreign
0,24,critical/other existing credit,new car,1199,100,10,4,male single,none,4,car,60,none,own,2,unskilled resident,1,No telephone,Foreign
0,15,existing paid,new car,1403,100,4,2,female div/dep/mar,none,4,car,28,none,rent,1,skilled,1,No telephone,Foreign
0,24,existing paid,radio/tv,1282,500,4,4,female div/dep/mar,none,2,car,32,none,own,1,unskilled resident,1,No telephone,Foreign
0,24,critical/other existing credit,radio/tv,2424,0,10,4,male single,none,4,life insurance,53,none,own,2,skilled,1,No telephone,Foreign
0,30,no credits/all paid,business,8072,0,0,2,male single,none,3,car,25,bank,own,3,skilled,1,No telephone,Foreign
200,24,existing paid,used car,12579,100,10,4,female div/dep/mar,none,2,no known property,44,none,for free,1,high qualif/self emp/mgmt,1,Having telephone,Foreign
0,24,existing paid,radio/tv,3430,1000,10,3,male single,none,2,car,31,none,own,1,skilled,2,Having telephone,Foreign
0,9,critical/other existing credit,new car,2134,100,4,4,male single,none,4,car,48,none,own,3,skilled,1,Having telephone,Foreign
0,6,existing paid,radio/tv,2647,1000,4,2,male single,none,3,real estate,44,none,rent,1,skilled,2,No telephone,Foreign
0,10,critical/other existing credit,new car,2241,100,0,1,male single,none,3,real estate,48,none,rent,2,unskilled resident,2,No telephone,Not foreign
200,12,critical/other existing credit,used car,1804,500,0,3,male single,none,4,life insurance,44,none,own,1,skilled,1,No telephone,Foreign
0,10,critical/other existing credit,furniture/equipment,2069,0,4,2,male mar/wid,none,1,car,26,none,own,2,skilled,1,No telephone,Not foreign
0,6,existing paid,furniture/equipment,1374,100,4,1,male single,none,2,real estate,36,bank,own,1,unskilled resident,1,Having telephone,Foreign
0,6,no credits/all paid,radio/tv,426,100,10,4,male mar/wid,none,4,car,39,none,own,1,unskilled resident,1,No telephone,Foreign
1000,12,all paid,radio/tv,409,1500,4,3,female div/dep/mar,none,3,real estate,42,none,rent,2,skilled,1,No telephone,Foreign
200,7,existing paid,radio/tv,2415,100,4,3,male single,guarantor,2,real estate,34,none,own,1,skilled,1,No telephone,Foreign
0,60,delayed previously,business,6836,100,10,3,male single,none,4,no known property,63,none,own,2,skilled,1,Having telephone,Foreign
200,18,existing paid,business,1913,1500,0,3,male mar/wid,none,3,real estate,36,bank,own,1,skilled,1,Having telephone,Foreign
0,24,existing paid,furniture/equipment,4020,100,4,2,male single,none,2,car,27,stores,own,1,skilled,1,No telephone,Foreign
200,18,existing paid,new car,5866,500,4,2,male single,none,2,car,30,none,own,2,skilled,1,Having telephone,Foreign
0,12,critical/other existing credit,business,1264,0,10,4,male single,none,4,no known property,57,none,rent,1,unskilled resident,1,No telephone,Foreign
1000,12,existing paid,furniture/equipment,1474,100,0,4,female div/dep/mar,none,1,life insurance,33,bank,own,1,high qualif/self emp/mgmt,1,Having telephone,Foreign
200,45,critical/other existing credit,radio/tv,4746,100,0,4,male single,none,2,life insurance,25,none,own,2,unskilled resident,1,No telephone,Foreign
0,48,critical/other existing credit,education,6110,100,4,1,male single,none,3,no known property,31,bank,for free,1,skilled,1,Having telephone,Foreign
1000,18,existing paid,radio/tv,2100,100,4,4,male single,co applicant,2,real estate,37,stores,own,1,skilled,1,No telephone,Foreign
1000,10,existing paid,domestic appliance,1225,100,4,2,male single,none,2,car,37,none,own,1,skilled,1,Having telephone,Foreign
200,9,existing paid,radio/tv,458,100,4,4,male single,none,3,real estate,24,none,own,1,skilled,1,No telephone,Foreign
0,30,existing paid,radio/tv,2333,1000,10,4,male single,none,2,car,30,bank,own,1,high qualif/self emp/mgmt,1,No telephone,Foreign
200,12,existing paid,radio/tv,1158,1000,4,3,male div/sep,none,1,car,26,none,own,1,skilled,1,Having telephone,Foreign
200,18,delayed previously,repairs,6204,100,4,2,male single,none,4,real estate,44,none,own,1,unskilled resident,2,Having telephone,Foreign
0,30,critical/other existing credit,used car,6187,500,7,1,male mar/wid,none,4,car,24,none,rent,2,skilled,1,No telephone,Foreign
0,48,critical/other existing credit,used car,6143,100,10,4,female div/dep/mar,none,4,no known property,58,stores,for free,2,unskilled resident,1,No telephone,Foreign
0,11,critical/other existing credit,new car,1393,100,0,4,female div/dep/mar,none,4,car,35,none,own,2,high qualif/self emp/mgmt,1,No telephone,Foreign
0,36,existing paid,radio/tv,2299,1000,10,4,male single,none,4,car,39,none,own,1,skilled,1,No telephone,Foreign
0,6,existing paid,used car,1352,1000,unemployed,1,female div/dep/mar,none,2,life insurance,23,none,rent,1,unemp/unskilled non res,1,Having telephone,Foreign
0,11,critical/other existing credit,new car,7228,100,4,1,male single,none,4,life insurance,39,none,own,2,unskilled resident,1,No telephone,Foreign
0,12,existing paid,radio/tv,2073,500,4,4,female div/dep/mar,co applicant,2,real estate,28,none,own,1,skilled,1,No telephone,Foreign
200,24,delayed previously,furniture/equipment,2333,0,0,4,male single,none,2,life insurance,29,bank,own,1,unskilled resident,1,No telephone,Foreign
200,27,delayed previously,used car,5965,100,10,1,male single,none,2,car,30,none,own,2,high qualif/self emp/mgmt,1,Having telephone,Foreign
0,12,existing paid,radio/tv,1262,100,4,3,male single,none,2,car,25,none,own,1,skilled,1,No telephone,Foreign
0,18,existing paid,used car,3378,0,4,2,male single,none,1,life insurance,31,none,own,1,skilled,1,Having telephone,Foreign
200,36,delayed previously,new car,2225,100,10,4,male single,none,4,no known property,57,bank,for free,2,skilled,1,Having telephone,Foreign
0,6,all paid,new car,783,0,4,1,male single,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,No telephone,Foreign
200,12,existing paid,radio/tv,6468,0,unemployed,2,male single,none,1,no known property,52,none,own,1,high qualif/self emp/mgmt,1,Having telephone,Foreign
0,36,critical/other existing credit,radio/tv,9566,100,4,2,female div/dep/mar,none,2,car,31,stores,own,2,skilled,1,No telephone,Foreign
1000,18,existing paid,new car,1961,100,10,3,female div/dep/mar,none,2,car,23,none,own,1,high qualif/self emp/mgmt,1,No telephone,Foreign
0,36,critical/other existing credit,furniture/equipment,6229,100,0,4,female div/dep/mar,co applicant,4,no known property,23,none,rent,2,unskilled resident,1,Having telephone,Foreign
200,9,existing paid,business,1391,100,4,2,male mar/wid,none,1,real estate,27,bank,own,1,skilled,1,Having telephone,Foreign
200,15,critical/other existing credit,radio/tv,1537,0,10,4,male single,guarantor,4,real estate,50,none,own,2,skilled,1,Having telephone,Foreign
200,36,no credits/all paid,business,1953,100,10,4,male single,none,4,no known property,61,none,for free,1,high qualif/self emp/mgmt,1,Having telephone,Foreign
200,48,no credits/all paid,business,14421,100,4,2,male single,none,2,car,25,none,own,1,skilled,1,Having telephone,Foreign
0,24,existing paid,radio/tv,3181,100,0,4,female div/dep/mar,none,4,life insurance,26,none,own,1,skilled,1,Having telephone,Foreign
0,27,existing paid,repairs,5190,0,10,4,male single,none,4,life insurance,48,none,own,4,skilled,2,Having telephone,Foreign
0,12,existing paid,radio/tv,2171,100,0,2,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,No telephone,Foreign
200,12,existing paid,new car,1007,1500,4,4,male mar/wid,none,1,real estate,22,none,own,1,skilled,1,No telephone,Foreign
0,36,existing paid,education,1819,100,4,4,male single,none,4,no known property,37,stores,for free,1,skilled,1,Having telephone,Foreign
0,36,existing paid,radio/tv,2394,0,4,4,female div/dep/mar,none,4,car,25,none,own,1,skilled,1,No telephone,Foreign
0,36,existing paid,used car,8133,100,4,1,female div/dep/mar,none,2,life insurance,30,bank,own,1,skilled,1,No telephone,Foreign
0,7,critical/other existing credit,radio/tv,730,0,10,4,male single,none,2,life insurance,46,none,rent,2,unskilled resident,1,Having telephone,Foreign
0,8,critical/other existing credit,other,1164,100,10,3,male single,none,4,no known property,51,bank,for free,2,high qualif/self emp/mgmt,2,Having telephone,Foreign
